year,gdp_growth,real_gdp_per_capita,nominal_gdp_per_capita,source
2000,4.920067747,1828.1026596836,763.7111249509,World Bank API
2001,3.6434664472,1868.5917230729,732.3070934057,World Bank API
2002,4.4994753909,1926.3743586815,881.0029135691,World Bank API
2003,4.7803691217,1991.9182050647,1043.2105838671,World Bank API
2004,5.030873945,2065.7061747084,1126.8400444717,World Bank API
2005,5.6925713038,2155.4478015921,1238.2144762949,World Bank API
2006,5.5009517852,2244.0802226202,1558.3156284716,World Bank API
2007,6.3450222267,2355.1528565328,1823.2197625507,World Bank API
2008,6.0137036001,2464.6019341827,2124.5548392062,World Bank API
2009,4.6288711826,2546.2196970777,2218.4854185298,World Bank API
2010,6.2238541806,2670.8129098953,3065.6834837777,World Bank API
2011,6.1697842077,2799.6246879032,3579.4644246615,World Bank API
2012,6.0300506531,2930.518445323,3632.2725403033,World Bank API
2013,5.5572636889,3055.2424600647,3566.6028450608,World Bank API
2014,5.0066684258,3170.7210301143,3441.0680846401,World Bank API
2015,4.8763223002,3288.2226972554,3288.2226972554,World Bank API
2016,5.0330691828,3416.8100517097,3521.4694345757,World Bank API
2017,5.0697859013,3553.5199926232,3798.8832617453,World Bank API
2018,5.1742915396,3701.3215546191,3860.9535309073,World Bank API
2019,5.0192876805,3850.9032173898,4106.9485616036,World Bank API
2020,-2.0655118293,3739.4490656316,3853.7028877415,World Bank API
2021,3.7028856283,3850.688772539,4287.173139951,World Bank API
2022,5.3071972266,4024.9122528839,4730.8348483611,World Bank API
2023,5.0490233184,4192.6516789069,4876.3077451225,World Bank API
2024,5.0303446942,4367.8626662119,4925.4304875186,World Bank API
