year,cpi_total,inflation_yoy,cpi_food,cpi_transport,cpi_housing,cpi_education,cpi_healthcare,cpi_restaurant,source
2000,44.0160374374,3.6886203706,,,,,,,World Bank API
2001,49.0779328256,11.5001160551,,,,,,,World Bank API
2002,54.9182657419,11.9001200338,,,,,,,World Bank API
2003,58.6292646125,6.7573125633,,,,,,,World Bank API
2004,62.184579505,6.0640618913,,,,,,,World Bank API
2005,68.6848580863,10.4532001873,,,,,,,World Bank API
2006,77.6885301496,13.1086709853,,,,,,,World Bank API
2007,82.6656931302,6.4065608797,,,,,,,World Bank API
2008,91.1196377337,10.2266663272,,,,,,,World Bank API
2009,95.1165214763,4.3864131179,,,,,,,World Bank API
2010,100,5.1342063902,,,,,,,World Bank API
2011,105.3560484911,5.3560484911,,,,,,,World Bank API
2012,109.8647756198,4.2795142692,,,,,,,World Bank API
2013,116.9098484006,6.412494579,,,,,,,World Bank API
2014,124.386149994,6.394928824,,,,,,,World Bank API
2015,132.3009907427,6.363120612,,,,,,,World Bank API
2016,136.9656650651,3.5258045282,,,,,,,World Bank API
2017,142.182411367,3.8087985769,,,,,,,World Bank API
2018,146.7298990507,3.1983475592,,,,,,,World Bank API
2019,151.1766727887,3.0305846094,,,,,,,World Bank API
2020,154.079015877,1.9198352727,,,,,,,World Bank API
2021,156.4827699849,1.5600788298,,,,,,,World Bank API
2022,163.0698568507,4.2094646371,,,,,,,World Bank API
2023,169.0535202428,3.6693865486,,,,,,,World Bank API
2024,172.7414443178,2.1815127362,,,,,,,World Bank API
